REF_DATE,GEO,Number_of_Households
1983-09-01,New Brunswick,226
1983-09-01,Newfoundland and Labrador,155
1983-09-01,Ontario,3150
1983-09-01,Prince Edward Island,39
1983-09-01,Quebec,2294
1983-09-01,Canada,8748
1983-10-01,Alberta,810
1983-10-01,British Columbia,1068
1983-10-01,Manitoba,373
1983-10-01,New Brunswick,226
1983-10-01,Newfoundland and Labrador,155
1983-10-01,Ontario,3150
1983-10-01,Prince Edward Island,39
1983-10-01,Quebec,2294
1983-10-01,Canada,8748
1983-11-01,Alberta,810
1983-11-01,British Columbia,1068
1983-11-01,Manitoba,373
1983-11-01,New Brunswick,226
1983-11-01,Newfoundland and Labrador,155
1983-11-01,Ontario,3150
1983-11-01,Prince Edward Island,39
1983-11-01,Quebec,2294
1983-11-01,Canada,8748
1983-12-01,Alberta,810
1983-12-01,British Columbia,1068
1983-12-01,Manitoba,373
1983-12-01,New Brunswick,226
1983-12-01,Newfoundland and Labrador,155
1983-12-01,Ontario,3150
1983-12-01,Prince Edward Island,39
1983-12-01,Quebec,2294
1983-12-01,Canada,8748
1984-01-01,Alberta,826
1984-01-01,British Columbia,1089
1984-01-01,Manitoba,380
1984-01-01,New Brunswick,229
1984-01-01,Newfoundland and Labrador,157
1984-01-01,Ontario,3209
1984-01-01,Prince Edward Island,40
1984-01-01,Quebec,2336
1984-01-01,Canada,8910
1984-02-01,Alberta,826
1984-02-01,British Columbia,1089
1984-02-01,Manitoba,380
1984-02-01,New Brunswick,229
1984-02-01,Newfoundland and Labrador,157
1984-02-01,Ontario,3209
